state,value
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
New York,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Oregon,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
Washington,125
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
California,120
Oregon,120
Oregon,120
Oregon,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
Washington,120
California,119
California,119
California,119
California,119
California,118
California,118
California,118
California,118
California,117
California,116
California,116
California,116
California,116
California,116
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
California,115
Washington,115
Washington,115
Washington,115
Washington,115
Washington,115
Washington,115
Washington,115
California,112
California,112
California,112
California,111
California,111
California,111
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
California,110
Oregon,110
Oregon,110
Washington,110
Washington,110
Washington,110
Washington,110
Washington,110
California,109
California,109
California,108
California,108
California,108
California,108
California,108
California,108
California,108
California,107
California,107
California,107
Washington,107
Washington,107
California,106
California,106
California,106
California,106
California,106
California,106
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
California,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Oregon,105
Washington,105
Washington,105
Washington,105
Washington,105
California,104
California,102
California,102
California,102
California,102
California,101
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
